Last Name,First Name,Rk,Tm,Lg,PA,HR,RBI,SB,BA,OPS
Abreu,Bobby,4,PHI,NL,713,30,105,40,0.301,0.971
Alfonzo,Edgardo,16,SFG,NL,576,11,77,1,0.289,0.757
Alou,Moises,24,CHC,NL,675,39,106,3,0.293,0.919
Bagwell,Jeff,49,HOU,NL,679,27,89,6,0.266,0.842
Baldelli,Rocco,51,TBD,AL,565,16,74,17,0.28,0.762
Barrett,Michael,57,CHC,NL,506,16,65,1,0.287,0.826
Batista,Tony,61,MON,NL,650,32,110,14,0.241,0.728
Bautista,Danny,63,ARI,NL,582,11,65,6,0.286,0.733
Bell,David,74,PHI,NL,603,18,77,1,0.291,0.821
Bellhorn,Mark,77,BOS,AL,620,17,82,6,0.264,0.817
Belliard,Ronnie,78,CLE,AL,663,12,70,3,0.282,0.774
Beltrán,Carlos,79,TOT,MLB,708,38,104,42,0.267,0.915
Beltré,Adrián,86,LAD,NL,657,48,121,7,0.334,1.017
Berkman,Lance,98,HOU,NL,687,30,106,9,0.316,1.016
Berroa,Angel,100,KCR,AL,554,8,43,14,0.262,0.693
Bigbie,Larry,105,BAL,AL,531,15,68,8,0.28,0.768
Biggio,Craig,106,HOU,NL,700,24,63,7,0.281,0.806
Blake,Casey,107,CLE,AL,668,28,88,5,0.271,0.839
Blalock,Hank,108,TEX,AL,713,32,110,2,0.276,0.855
Bonds,Barry,116,SFG,NL,617,45,101,6,0.362,1.422
Boone,Bret,118,SEA,AL,658,24,83,10,0.251,0.74
Bradley,Milton,129,LAD,NL,597,19,67,15,0.267,0.786
Burnitz,Jeromy,161,COL,NL,606,37,110,5,0.283,0.916
Burrell,Pat,162,PHI,NL,534,24,84,2,0.257,0.821
Burroughs,Sean,163,SDP,NL,564,2,47,5,0.298,0.713
Byrnes,Eric,169,OAK,AL,632,20,73,17,0.283,0.814
Cabrera,Miguel,172,FLA,NL,685,33,112,5,0.294,0.879
Cabrera,Orlando,173,TOT,MLB,673,10,62,16,0.264,0.689
Cameron,Mike,180,NYM,NL,562,30,76,22,0.231,0.798
Casey,Sean,189,CIN,NL,633,24,99,2,0.324,0.915
Castilla,Vinny,191,COL,NL,648,35,131,0,0.271,0.867
Castillo,Luis,194,FLA,NL,649,2,47,21,0.291,0.72
Chavez,Endy,203,MON,NL,547,5,34,32,0.277,0.688
Chavez,Eric,204,OAK,AL,577,29,77,6,0.276,0.898
Cintron,Alex,214,ARI,NL,613,4,49,3,0.262,0.665
Clayton,Royce,221,COL,NL,652,8,54,10,0.279,0.735
Conine,Jeff,231,FLA,NL,579,14,83,5,0.28,0.772
Counsell,Craig,248,MIL,NL,551,2,23,17,0.241,0.645
Crawford,Carl,249,TBD,AL,672,11,55,59,0.296,0.781
Crede,Joe,250,CHW,AL,543,21,69,1,0.239,0.717
Crisp,Coco,252,CLE,AL,538,15,71,20,0.297,0.79
Crosby,Bobby,253,OAK,AL,623,22,64,7,0.239,0.744
Cruz,José,259,TBD,AL,636,21,78,11,0.242,0.766
Damon,Johnny,267,BOS,AL,702,20,94,19,0.304,0.857
Delgado,Carlos,284,TOR,AL,551,32,99,0,0.269,0.907
Drew,J.D.,314,ATL,NL,645,31,93,12,0.305,1.006
Dunn,Adam,322,CIN,NL,681,46,102,6,0.266,0.956
Dye,Jermaine,328,OAK,AL,590,23,80,4,0.265,0.793
Eckstein,David,331,ANA,AL,637,2,35,16,0.276,0.671
Edmonds,Jim,332,STL,NL,612,42,111,8,0.301,1.061
Encarnacion,Juan,340,TOT,NL,532,16,62,5,0.236,0.704
Erstad,Darin,347,ANA,AL,543,7,69,16,0.295,0.746
Estrada,Johnny,355,ATL,NL,517,9,76,0,0.314,0.828
Feliz,Pedro,368,SFG,NL,531,22,84,5,0.276,0.79
Figgins,Chone,375,ANA,AL,638,5,60,34,0.296,0.77
Finley,Steve,379,TOT,NL,706,36,94,9,0.271,0.823
Ford,Lew,390,MIN,AL,658,15,72,20,0.299,0.827
Freel,Ryan,408,CIN,NL,592,3,28,37,0.277,0.743
Furcal,Rafael,413,ATL,NL,632,14,59,29,0.279,0.758
Gerut,Jody,435,CLE,AL,548,11,51,13,0.252,0.739
Giles,Brian,441,SDP,NL,711,23,94,10,0.284,0.849
Green,Shawn,481,LAD,NL,671,28,86,5,0.266,0.811
Greene,Khalil,482,SDP,NL,554,15,65,4,0.273,0.795
Grissom,Marquis,494,SFG,NL,606,22,90,3,0.279,0.773
Guerrero,Vladimir,500,ANA,AL,680,39,126,15,0.337,0.989
Guillen,Jose,505,ANA,AL,621,27,104,5,0.294,0.849
Guillen,Carlos,504,DET,AL,583,20,97,12,0.318,0.921
Guzman,Cristian,509,MIN,AL,624,8,46,10,0.274,0.693
Hatteberg,Scott,545,OAK,AL,638,15,82,0,0.284,0.787
Helton,Todd,551,COL,NL,683,32,96,3,0.347,1.088
Hidalgo,Richard,568,TOT,NL,579,25,82,4,0.239,0.745
Hillenbrand,Shea,576,ARI,NL,604,15,80,2,0.31,0.812
Hinske,Eric,578,TOR,AL,634,15,69,12,0.246,0.688
Hudson,Orlando,595,TOR,AL,551,12,58,7,0.27,0.779
Huff,Aubrey,597,TBD,AL,667,29,104,5,0.297,0.853
Hunter,Torii,600,MIN,AL,569,23,81,21,0.271,0.805
Ibanez,Raul,602,SEA,AL,524,16,62,1,0.304,0.825
Infante,Omar,603,DET,AL,556,16,55,13,0.264,0.766
Izturis,Cesar,607,LAD,NL,728,4,62,25,0.288,0.71
Jenkins,Geoff,617,MIL,NL,681,27,93,3,0.264,0.798
Jeter,Derek,619,NYY,AL,721,23,78,23,0.292,0.823
Jimenez,D'Angelo,620,CIN,NL,652,12,67,13,0.27,0.758
Johnson,Reed,627,TOR,AL,582,10,61,6,0.27,0.699
Jones,Andruw,629,ATL,NL,646,29,91,6,0.261,0.833
Jones,Chipper,630,ATL,NL,567,30,96,2,0.248,0.847
Jones,Jacque,631,MIN,AL,608,24,80,13,0.254,0.742
Kendall,Jason,643,PIT,NL,658,3,51,11,0.319,0.789
Kennedy,Adam,644,ANA,AL,533,10,48,15,0.278,0.757
Kent,Jeff,647,HOU,NL,606,27,107,7,0.289,0.88
Konerko,Paul,666,CHW,AL,643,41,117,1,0.277,0.894
Kotsay,Mark,670,OAK,AL,673,15,63,8,0.314,0.829
Lawton,Matt,687,CLE,AL,680,20,70,23,0.277,0.787
